,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
784,41,0,0,0,0,0.0,0,0,0,0,0,-3.36e-05,0,0,-0.032624655,0.010861882,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.022140618,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.36e-05,0,0,0,0,0,0,0,0.033159387,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-3.36e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.008786045,0,0,0.010861882,0.0,0.0,-0.093026672,-3.36e-05,0,0,0,-0.035576446,-1e-05,0,0,0.0,-3.36e-05,0.0,0,0,-0.000101,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-3.36e-05,0,-3.36e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-3.36e-05,0,0.0,0,0.010861882,0.010861882,0.010861882,0,0,-3.36e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
793,42,0,0,0,0,0.0,0,0,0,0,0,-4.25e-05,0,0,-0.027579501,0.013723793,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.018708318,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.25e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-4.25e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.01110101,0,0,0.013723793,0.0,0.0,-0.109702944,-4.25e-05,0,0,0,-0.003053911,-1e-05,0,0,0.0,-4.25e-05,0.0,0,0,-0.000127,0,-0.079877922,0,0,0.0,0,-0.003917292,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.25e-05,0,-4.25e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-4.25e-05,0,0.0,0,0.013723793,0.013723793,0.013723793,0,0,-4.25e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
807,43,0,0,0,0,0.0,0,0,0,0,0,-4.93e-05,0,0,-0.03902873,0.015912945,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.016104546,0,0,0,0,0,0,0,0,0,-0.004033759,0,0,-4.93e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-5.84e-06,0,0.0,0,0,0,0,0,0,0,0,0,-4.93e-05,0.0,0,0.0,-0.000405,0,0.0,0,0,-0.012871788,0,0,0.015912945,0.0,0.0,-0.123168464,-4.93e-05,0,0,0,-0.003541055,-1e-05,0,0,0.0,-4.93e-05,0.0,0,0,-0.000148,0,-0.086154059,0,0,0.0,0,-0.00454216,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.93e-05,0,-4.93e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-4.93e-05,0,0.0,0,0.015912945,0.015912945,0.015912945,0,0,-4.93e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
821,44,0,0,0,0,0.0,0,0,0,0,0,-5.45e-05,0,0,-0.041067181,0.017612343,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.01384179,0,0,0,0,0,0,0,0,0,-0.01069632,0,0,-5.45e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-1.44e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.45e-05,0.0,0,0.0,-0.001033329,0,0.0,0,0,-0.01424641,0,0,0.017612343,0.0,0.0,-0.130090257,-5.45e-05,0,0,0,-0.003919217,-1e-05,0,0,0.0,-5.45e-05,0.0,0,0,-0.000164,0,-0.08540706,0,0,-0.005457659,0,-0.005027232,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.45e-05,0,-5.45e-05,0.0,0,0.0,0.0,0,0,0.0,-0.004894358,0,0,0.0,0,-5.45e-05,0,0.0,0,0.017612343,0.017612343,0.017612343,0,0,-5.45e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
835,45,0,0,0,0,0.0,0,0,0,0,0,-5.86e-05,0,0,-0.032903575,0.018933893,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.011963989,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.86e-05,0,0,0,0,0,0,0,-0.022079339,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-2.37e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.86e-05,0.0,0,0.0,-0.001785728,0,0.0,0,0,-0.015315396,0,0,0.018933893,0.0,0.0,-0.151350563,-5.86e-05,0,0,0,0.017866042,1e-05,0,0,0.0,-5.86e-05,0.0,0,0,-0.000176,0,-0.152552129,0,0,-0.005407796,0,-0.005404453,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.86e-05,0,-5.86e-05,0.0,0,0.0,0.0,0,0,0.0,-0.004195717,0,0,0.0,0,-5.86e-05,0,0.0,0,0.018933893,0.018933893,0.018933893,0,0,-5.86e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
849,46,0,0,0,0,0.0,0,0,0,0,0,-6.14e-05,0,0,-0.026629464,0.019815721,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.01041058,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.14e-05,0,0,0,0,0,0,0,-0.046083251,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-3.28e-05,0,0.0,0,0,0,0,0,0,0,0,0,-6.14e-05,0.0,0,0.0,-0.002596548,0,0.0,0,0,-0.016028696,0,0,0.019815721,0.0,0.0,-0.158399574,-6.14e-05,0,0,0,0.041673723,1e-05,0,0,0.0,-6.14e-05,0.0,0,0,-0.000184,0,-0.204864097,0,0,-0.004340535,0,-0.00565616,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.14e-05,0,-6.14e-05,0.0,0,0.0,0.0,0,0,0.0,-0.00362294,0,0,0.0,0,-6.14e-05,0,0.0,0,0.019815721,0.019815721,0.019815721,0,0,-6.14e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
863,47,0,0,0,0,0.0,0,0,0,0,0,-5.6e-05,0,0,-0.021758094,0.018088896,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.0091165,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.6e-05,0,0,0,0,0,0,0,-0.048619498,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-4.14e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.6e-05,0.0,0,0.0,-0.003424104,0,0.0,0,0,-0.014631889,0,0,0.018088896,0.0,0.0,-0.144595971,-5.6e-05,0,0,0,0.044594235,1e-05,0,0,0.0,-5.6e-05,0.0,0,0,-0.000168,0,-0.199039793,0,0,-0.003519052,0,-0.005163259,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.6e-05,0,-5.6e-05,0.0,0,0.0,0.0,0,0,0.0,-0.003149672,0,0,0.0,0,-5.6e-05,0,0.0,0,0.018088896,0.018088896,0.018088896,0,0,-5.6e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
877,48,0,0,0,0,0.0,0,0,0,0,0,-5.13e-05,0,0,-0.0178793,0.016559913,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.008004757,0,0,0,0,0,0,0,0,0,0.0,0,0,-5.13e-05,0,0,0,0,0,0,0,-0.049768339,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-4.92e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.13e-05,0.0,0,0.0,-0.004210451,0,0.0,0,0,-0.013395113,0,0,0.016559913,0.0,0.0,-0.132373842,-5.13e-05,0,0,0,0.046083316,1e-05,0,0,0.0,-5.13e-05,0.0,0,0,-0.000154,0,-0.191635203,0,0,-0.002870564,0,-0.004726829,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.13e-05,0,-5.13e-05,0.0,0,0.0,0.0,0,0,0.0,-0.002746644,0,0,0.0,0,-5.13e-05,0,0.0,0,0.016559913,0.016559913,0.016559913,0,0,-5.13e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
891,49,0,0,0,0,0.0,0,0,0,0,0,-6.88e-05,0,0,-0.060608662,0.022234196,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.020755731,0,0,0,0,0,0,0,0,0,-0.057953888,0,0,-6.88e-05,0,0,0,0,0,0,0,-0.004947703,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-5.61e-05,0,0.0,0,0,0,0,0,0,0,0,0,-6.88e-05,0.0,0,0.0,-0.004957732,0,0.0,0,0,-0.017984971,0,0,0.022234196,0.0,0.0,-0.119778078,-6.88e-05,0,0,0,0.0,-1e-05,0,0,0.0,-6.88e-05,0.0,0,0,-0.000207,0,-0.047312747,0,0,-0.009039089,0,-0.006346485,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.88e-05,0,-6.88e-05,0.0,0,0.0,0.0,0,0,0.0,-0.006270275,0,0,0.0,0,-6.88e-05,0,0.0,0,0.022234196,0.022234196,0.022234196,0,0,-6.88e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1055,50,0,0,0,0,0.0,0,0,0,0,0,-6.26e-05,0,0,-0.051172666,0.020208586,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.018569041,0,0,0,0,0,0,0,0,0,-0.040351287,0,0,-6.26e-05,0,0,0,0,0,0,0,-0.00449695,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-6.59e-05,0,0.0,0,0,0,0,0,0,0,0,0,-6.26e-05,0.0,0,0.0,-0.005768375,0,0.0,0,0,-0.01634648,0,0,0.020208586,0.0,0.0,-0.121188707,-6.26e-05,0,0,0,0.0,-1e-05,0,0,0.0,-6.26e-05,0.0,0,0,-0.000188,0,-0.060193514,0,0,-0.007601854,0,-0.005768299,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-6.26e-05,0,-6.26e-05,0.0,0,0.0,0.0,0,0,0.0,-0.00557526,0,0,0.0,0,-6.26e-05,0,0.0,0,0.020208586,0.020208586,0.020208586,0,0,-6.26e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1069,51,0,0,0,0,0.0,0,0,0,0,0,-5.71e-05,0,0,-0.043241444,0.018454989,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.016623932,0,0,0,0,0,0,0,0,0,-0.025876711,0,0,-5.71e-05,0,0,0,0,0,0,0,-0.004106728,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.08e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.71e-05,0.0,0,0.0,-0.006526826,0,0.0,0,0,-0.014928016,0,0,0.018454989,0.0,0.0,-0.121645669,-5.71e-05,0,0,0,0.0,-1e-05,0,0,0.0,-5.71e-05,0.0,0,0,-0.000171,0,-0.068537138,0,0,-0.006442041,0,-0.005267755,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.71e-05,0,-5.71e-05,0.0,0,0.0,0.0,0,0,0.0,-0.005008548,0,0,0.0,0,-5.71e-05,0,0.0,0,0.018454989,0.018454989,0.018454989,0,0,-5.71e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000537,0,0,0
1084,52,0,0,0,0,0.0,0,0,0,0,0,-5.22e-05,0,0,-0.036644486,0.016863726,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.01489787,0,0,0,0,0,0,0,0,0,-0.01465014,0,0,-5.22e-05,0,0,0,0,0,0,0,-0.003752629,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.02e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.22e-05,0.0,0,0.0,-0.007222077,0,0.0,0,0,-0.013640863,0,0,0.016863726,0.0,0.0,-0.120152269,-5.22e-05,0,0,0,0.0,-1e-05,0,0,0.0,-5.22e-05,0.0,0,0,-0.000157,0,-0.074637879,0,0,-0.005478042,0,-0.004813548,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-5.22e-05,0,-5.22e-05,0.0,0,0.0,0.0,0,0,0.0,-0.004504899,0,0,0.0,0,-5.22e-05,0,0.0,0,0.016863726,0.016863726,0.016863726,0,0,-5.22e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000562,0,0,0
1099,53,0,0,0,0,0.0,0,0,0,0,0,-4.78e-05,0,0,-0.03114621,0.01542925,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.013367398,0,0,0,0,0,0,0,0,0,-0.00591269,0,0,-4.78e-05,0,0,0,0,0,0,0,-0.00343342,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.13e-05,0,0.0,0,0,0,0,0,0,0,0,0,-4.78e-05,0.0,0,0.0,-0.007851769,0,0.0,0,0,-0.012480533,0,0,0.01542925,0.0,0.0,-0.117423048,-4.78e-05,0,0,0,0.0,-1e-05,0,0,0.0,-4.78e-05,0.0,0,0,-0.000143,0,-0.078662914,0,0,-0.004674839,0,-0.004404095,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.78e-05,0,-4.78e-05,0.0,0,0.0,0.0,0,0,0.0,-0.004044795,0,0,0.0,0,-4.78e-05,0,0.0,0,0.01542925,0.01542925,0.01542925,0,0,-4.78e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000382,0,0,0
1114,54,0,0,0,0,0.0,0,0,0,0,0,-4.38e-05,0,0,-0.026565209,0.014145751,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.012009636,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.38e-05,0,0,0,0,0,0,0,-0.003832467,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.31e-05,0,0.0,0,0,0,0,0,0,0,0,0,-4.38e-05,0.0,0,0.0,-0.008417055,0,0.0,0,0,-0.011442327,0,0,0.014145751,0.0,0.0,-0.113075924,-4.38e-05,0,0,0,0.000685,1e-05,0,0,0.0,-4.38e-05,0.0,0,0,-0.000131,0,-0.080783669,0,0,-0.004001766,0,-0.004037735,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.38e-05,0,-4.38e-05,0.0,0,0.0,0.0,0,0,0.0,-0.003615923,0,0,0.0,0,-4.38e-05,0,0.0,0,0.014145751,0.014145751,0.014145751,0,0,-4.38e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000224,0,0,0
1129,55,0,0,0,0,0.0,0,0,0,0,0,-4.02e-05,0,0,-0.022738901,0.012997302,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.010804483,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.02e-05,0,0,0,0,0,0,0,-0.007563162,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.5e-05,0,0.0,0,0,0,0,0,0,0,0,0,-4.02e-05,0.0,0,0.0,-0.008917334,0,0.0,0,0,-0.01051336,0,0,0.012997302,0.0,0.0,-0.103895644,-4.02e-05,0,0,0,0.004670915,1e-05,0,0,0.0,-4.02e-05,0.0,0,0,-0.000121,0,-0.08132694,0,0,-0.003416511,0,-0.003709924,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-4.02e-05,0,-4.02e-05,0.0,0,0.0,0.0,0,0,0.0,-0.003237772,0,0,0.0,0,-4.02e-05,0,0.0,0,0.012997302,0.012997302,0.012997302,0,0,-4.02e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-0.000134,0,0,0
1144,56,0,0,0,0,0.0,0,0,0,0,0,-7.69e-05,0,0,-0.017732303,0.024829384,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.096623305,0,0,0,0,0,0,0,0,0,-0.084749029,0,0,-7.69e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-7.77e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.69e-05,0.0,0,0.0,-0.00935354,0,0.0,0,0,-0.020084187,0,0,0.024829384,0.0,0.0,-0.113727917,-7.69e-05,0,0,0,-0.005525201,-1e-05,0,0,0.0,-7.69e-05,0.0,0,0,-0.000231,0,-0.007649821,0,0,0.0,0,-0.00708725,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.69e-05,0,-7.69e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.69e-05,0,0.0,0,0.024829384,0.024829384,0.024829384,0,0,-7.69e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-8.09e-05,0,0,0
1159,57,0,0,0,0,0.0,0,0,0,0,0,-7.55e-05,0,0,-0.022427366,0.02437601,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.090545001,0,0,0,0,0,0,0,0,0,-0.085394776,0,0,-7.55e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-8.86e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.55e-05,0.0,0,0.0,-0.010123872,0,0.0,0,0,-0.019717459,0,0,0.02437601,0.0,0.0,-0.109458067,-7.55e-05,0,0,0,-0.005424313,-1e-05,0,0,0.0,-7.55e-05,0.0,0,0,-0.000226,0,-0.003340831,0,0,0.0,0,-0.00695784,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.55e-05,0,-7.55e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.55e-05,0,0.0,0,0.02437601,0.02437601,0.02437601,0,0,-7.55e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-5.06e-05,0,0,0
1174,58,0,0,0,0,0.0,0,0,0,0,0,-7.41e-05,0,0,-0.026810482,0.02394034,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.084909374,0,0,0,0,0,0,0,0,0,-0.085967246,0,0,-7.41e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-9.9e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.41e-05,0.0,0,0.0,-0.010106209,0,0.0,0,0,-0.019365051,0,0,0.02394034,0.0,0.0,-0.105403014,-7.41e-05,0,0,0,-0.005327365,-1e-05,0,0,0.0,-7.41e-05,0.0,0,0,-0.000222,0,0.0,0,0,0.0,0,-0.006833483,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.41e-05,0,-7.41e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.41e-05,0,0.0,0,0.02394034,0.02394034,0.02394034,0,0,-7.41e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-3.15e-05,0,0,0
1189,59,0,0,0,0,0.0,0,0,0,0,0,-7.28e-05,0,0,-0.03121371,0.023521268,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.079677032,0,0,0,0,0,0,0,0,0,-0.086467327,0,0,-7.28e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.000109,0,0.0,0,0,0,0,0,0,0,0,0,-7.28e-05,0.0,0,0.0,-0.006932063,0,0.0,0,0,-0.019026069,0,0,0.023521268,0.0,0.0,-0.101553026,-7.28e-05,0,0,0,-0.005234111,-1e-05,0,0,0.0,-7.28e-05,0.0,0,0,-0.000218,0,0.0,0,0,0.0,0,-0.006713864,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.28e-05,0,-7.28e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.28e-05,0,0.0,0,0.023521268,0.023521268,0.023521268,0,0,-7.28e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-1.96e-05,0,0,0
1219,60,0,0,0,0,0.0,0,0,0,0,0,-7.16e-05,0,0,-0.035274946,0.023119769,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.074812485,0,0,0,0,0,0,0,0,0,-0.086928378,0,0,-7.16e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.000118,0,0.0,0,0,0,0,0,0,0,0,0,-7.16e-05,0.0,0,0.0,-0.00390852,0,0.0,0,0,-0.0187013,0,0,0.023119769,0.0,0.0,-0.097882537,-7.16e-05,0,0,0,-0.005144766,-1e-05,0,0,0.0,-7.16e-05,0.0,0,0,-0.000215,0,0.0,0,0,0.0,0,-0.006599261,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.16e-05,0,-7.16e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.16e-05,0,0.0,0,0.023119769,0.023119769,0.023119769,0,0,-7.16e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-1.21e-05,0,0,0
1234,61,0,0,0,0,0.0,0,0,0,0,0,-7.04e-05,0,0,-0.03902097,0.022734728,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,-0.070284138,0,0,0,0,0,0,0,0,0,-0.087347749,0,0,-7.04e-05,0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,-0.000126,0,0.0,0,0,0,0,0,0,0,0,0,-7.04e-05,0.0,0,0.0,-0.001036116,0,0.0,0,0,-0.018389845,0,0,0.022734728,0.0,0.0,-0.094385287,-7.04e-05,0,0,0,-0.005059084,-1e-05,0,0,0.0,-7.04e-05,0.0,0,0,-0.000211,0,0.0,0,0,0.0,0,-0.006489356,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-7.04e-05,0,-7.04e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.04e-05,0,0.0,0,0.022734728,0.022734728,0.022734728,0,0,-7.04e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,-7.45e-06,0,0,0
