,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
797,42,0,0,0,0,0.0,0,0,0,0,0,-6.92e-06,0,0,0.0,0.000872,0.0,0,0,0,0.0,0,0,0,-0.000308,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.92e-06,0,0,0,0,0,0,0,-6.92e-06,0,0,-7.14e-05,0,0,0,0.0,0.059594682,0,0,0,0,0,0,0,-0.000303,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-6.92e-06,0.0,0,0.0,0.005221907,0,-0.00014,0,0,-0.001082861,0,0,0.000892,0.0,0.0,0.0,-6.92e-06,0,0,0,0.0,1e-05,0,0,-0.004413375,-2.77e-05,0.01718076,0,0,0.0,0,-0.016983201,0,0,0.0,0,-0.000282,0,0,0.0,0,0,0,0,-0.005504005,0.0,0,0,-6.92e-06,0,-6.92e-06,-0.000104,0,-0.000154,-4.75e-05,0,0,0.0,0.0,0,0,0.0,0,-6.92e-06,0,-0.000106,0,0.000872,0.000872,0.000872,0,0,-6.92e-06,0.0,0,0,-0.000182,0,-0.005504005,0,0,0,0,0,-7.73e-05,0,0,0.0,0,0,0
811,43,0,0,0,0,0.0,0,0,0,0,0,-1.16e-05,0,0,0.0,0.001463808,0.0,0,0,0,0.0,0,0,0,-0.000518,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.16e-05,0,0,0,0,0,0,0,-1.16e-05,0,0,-0.00012,0,0,0,0.0,0.099342769,0,0,0,0,0,0,0,-0.000509,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.16e-05,0.0,0,0.0,0.009401621,0,-0.000236,0,0,-0.001818266,0,0,0.001483808,0.0,0.0,0.0,-1.16e-05,0,0,0,0.0,1e-05,0,0,-0.005883186,-4.65e-05,0.028960276,0,0,0.0,0,-0.029894404,0,0,0.0,0,-0.000474,0,0,0.0,0,0,0,0,-0.009875302,0.0,0,0,-1.16e-05,0,-1.16e-05,-0.000174,0,-0.000258,-7.98e-05,0,0,0.0,0.0,0,0,0.0,0,-1.16e-05,0,-0.000178,0,0.001463808,0.001463808,0.001463808,0,0,-1.16e-05,0.0,0,0,-0.000306,0,-0.009744757,0,0,0,0,0,-0.00013,0,0,0.0,0,0,0
825,44,0,0,0,0,0.0,0,0,0,0,0,-1.57e-05,0,0,0.0,0.001972277,0.0,0,0,0,0.0,0,0,0,-0.000697,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.57e-05,0,0,0,0,0,0,0,-1.57e-05,0,0,-0.000162,0,0,0,0.0,0.133731358,0,0,0,0,0,0,0,-0.000685,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.57e-05,0.0,0,0.0,0.012972861,0,-0.000318,0,0,-0.002449859,0,0,0.001992277,0.0,0.0,0.0,-1.57e-05,0,0,0,0.0,1e-05,0,0,-0.007617735,-6.26e-05,0.038843992,0,0,0.0,0,-0.040449521,0,0,0.0,0,-0.000638,0,0,0.0,0,0,0,0,-0.01361108,0.0,0,0,-1.57e-05,0,-1.57e-05,-0.000235,0,-0.000347,-0.000107,0,0,0.0,0.0,0,0,0.0,0,-1.57e-05,0,-0.00024,0,0.001972277,0.001972277,0.001972277,0,0,-1.57e-05,0.0,0,0,-0.000413,0,-0.013043504,0,0,0,0,0,-0.000175,0,0,0.0,0,0,0
839,45,0,0,0,0,0.0,0,0,0,0,0,-1.92e-05,0,0,0.0,0.002413193,0.0,0,0,0,0.0,0,0,0,-0.000853,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.92e-05,0,0,0,0,0,0,0,-1.92e-05,0,0,-0.000198,0,0,0,0.0,0.163755224,0,0,0,0,0,0,0,-0.000838,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.92e-05,0.0,0,0.0,0.016032824,0,-0.000389,0,0,-0.002997542,0,0,0.002433193,0.0,0.0,0.0,-1.92e-05,0,0,0,0.0,1e-05,0,0,-0.009511129,-7.66e-05,0.047247484,0,0,0.0,0,-0.049175827,0,0,0.0,0,-0.000781,0,0,0.0,0,0,0,0,-0.016813721,0.0,0,0,-1.92e-05,0,-1.92e-05,-0.000287,0,-0.000425,-0.000132,0,0,0.0,0.0,0,0,0.0,0,-1.92e-05,0,-0.000293,0,0.002413193,0.002413193,0.002413193,0,0,-1.92e-05,0.0,0,0,-0.000505,0,-0.015644201,0,0,0,0,0,-0.000214,0,0,0.0,0,0,0
853,46,0,0,0,0,0.0,0,0,0,0,0,-2.21e-05,0,0,0.0,0.002779498,0.0,0,0,0,0.0,0,0,0,-0.000983,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.21e-05,0,0,0,0,0,0,0,-2.21e-05,0,0,-0.000228,0,0,0,0.0,0.188719873,0,0,0,0,0,0,0,-0.000966,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.21e-05,0.0,0,0.0,0.01867221,0,-0.000448,0,0,-0.003452548,0,0,0.002799498,0.0,0.0,0.0,-2.21e-05,0,0,0,0.0,1e-05,0,0,-0.011096051,-8.83e-05,0.054110344,0,0,0.0,0,-0.056351888,0,0,0.0,0,-0.0009,0,0,0.0,0,0,0,0,-0.019571641,0.0,0,0,-2.21e-05,0,-2.21e-05,-0.000331,0,-0.00049,-0.000151,0,0,0.0,0.0,0,0,0.0,0,-2.21e-05,0,-0.000338,0,0.002779498,0.002779498,0.002779498,0,0,-2.21e-05,0.0,0,0,-0.000582,0,-0.017690934,0,0,0,0,0,-0.000247,0,0,0.0,0,0,0
867,47,0,0,0,0,0.0,0,0,0,0,0,-2.31e-05,0,0,0.0,0.002915111,0.0,0,0,0,0.0,0,0,0,-0.001030709,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.31e-05,0,0,0,0,0,0,0,-2.31e-05,0,0,-0.000239,0,0,0,0.0,0.196451272,0,0,0,0,0,0,0,-0.001012886,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.31e-05,0.0,0,0.0,0.021157644,0,-0.000469,0,0,-0.003620998,0,0,0.002935111,0.0,0.0,0.0,-2.31e-05,0,0,0,0.0,1e-05,0,0,-0.008445835,-9.26e-05,0.056653751,0,0,0.0,0,-0.061815391,0,0,0.0,0,-0.000944,0,0,0.0,0,0,0,0,-0.022100959,0.0,0,0,-2.31e-05,0,-2.31e-05,-0.000347,0,-0.000514,-0.000159,0,0,0.0,0.0,0,0,0.0,0,-2.31e-05,0,-0.000354,0,0.002915111,0.002915111,0.002915111,0,0,-2.31e-05,0.0,0,0,-0.00061,0,-0.019314345,0,0,0,0,0,-0.000259,0,0,0.0,0,0,0
881,48,0,0,0,0,0.0,0,0,0,0,0,-2.41e-05,0,0,0.0,0.003032898,0.0,0,0,0,0.0,0,0,0,-0.001072356,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.41e-05,0,0,0,0,0,0,0,-2.41e-05,0,0,-0.000249,0,0,0,0.0,0.203235013,0,0,0,0,0,0,0,-0.001053812,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.41e-05,0.0,0,0.0,0.023346846,0,-0.000488,0,0,-0.003767308,0,0,0.003052898,0.0,0.0,0.0,-2.41e-05,0,0,0,0.0,1e-05,0,0,-0.006262603,-9.63e-05,0.058763828,0,0,0.0,0,-0.066405136,0,0,0.0,0,-0.000982,0,0,0.0,0,0,0,0,-0.024328276,0.0,0,0,-2.41e-05,0,-2.41e-05,-0.000361,0,-0.000534,-0.000165,0,0,0.0,0.0,0,0,0.0,0,-2.41e-05,0,-0.000368,0,0.003032898,0.003032898,0.003032898,0,0,-2.41e-05,0.0,0,0,-0.000635,0,-0.020600317,0,0,0,0,0,-0.000269,0,0,0.0,0,0,0
895,49,0,0,0,0,0.0,0,0,0,0,0,-2.49e-05,0,0,0.0,0.003135434,0.0,0,0,0,0.0,0,0,0,-0.00110861,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.49e-05,0,0,0,0,0,0,0,-2.49e-05,0,0,-0.000257,0,0,0,0.0,0.209189986,0,0,0,0,0,0,0,-0.001089439,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.49e-05,0.0,0,0.0,0.025280103,0,-0.000505,0,0,-0.003894672,0,0,0.003155434,0.0,0.0,0.0,-2.49e-05,0,0,0,0.0,1e-05,0,0,-0.004446356,-9.96e-05,0.060523537,0,0,0.0,0,-0.070286383,0,0,0.0,0,-0.001014926,0,0,0.0,0,0,0,0,-0.026294713,0.0,0,0,-2.49e-05,0,-2.49e-05,-0.000373,0,-0.000552,-0.000171,0,0,0.0,0.0,0,0,0.0,0,-2.49e-05,0,-0.000381,0,0.003135434,0.003135434,0.003135434,0,0,-2.49e-05,0.0,0,0,-0.000656,0,-0.021625295,0,0,0,0,0,-0.000278,0,0,0.0,0,0,0
1059,50,0,0,0,0,0.0,0,0,0,0,0,-2.56e-05,0,0,0.0,0.003224534,0.0,0,0,0,0.0,0,0,0,-0.001140113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.56e-05,0,0,0,0,0,0,0,-2.56e-05,0,0,-0.000264,0,0,0,0.0,0.214372194,0,0,0,0,0,0,0,-0.001120398,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.56e-05,0.0,0,0.0,0.02704744,0,-0.000519,0,0,-0.004005347,0,0,0.003244534,0.0,0.0,0.0,-2.56e-05,0,0,0,0.0,1e-05,0,0,-0.002857167,-0.000102,0.061957693,0,0,0.0,0,-0.073617874,0,0,0.0,0,-0.001043767,0,0,0.0,0,0,0,0,-0.028090882,0.0,0,0,-2.56e-05,0,-2.56e-05,-0.000384,0,-0.000568,-0.000176,0,0,0.0,0.0,0,0,0.0,0,-2.56e-05,0,-0.000392,0,0.003224534,0.003224534,0.003224534,0,0,-2.56e-05,0.0,0,0,-0.000675,0,-0.022430245,0,0,0,0,0,-0.000286,0,0,0.0,0,0,0
1074,51,0,0,0,0,0.0,0,0,0,0,0,-2.62e-05,0,0,0.0,0.003302096,0.0,0,0,0,0.0,0,0,0,-0.001167537,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.62e-05,0,0,0,0,0,0,0,-2.62e-05,0,0,-0.000271,0,0,0,0.0,0.21893864,0,0,0,0,0,0,0,-0.001147348,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.62e-05,0.0,0,0.0,0.028563255,0,-0.000532,0,0,-0.004101691,0,0,0.003322096,0.0,0.0,0.0,-2.62e-05,0,0,0,0.0,1e-05,0,0,-0.001582922,-0.000105,0.063173515,0,0,0.0,0,-0.076405964,0,0,0.0,0,-0.001068873,0,0,0.0,0,0,0,0,-0.029631796,0.0,0,0,-2.62e-05,0,-2.62e-05,-0.000393,0,-0.000582,-0.00018,0,0,0.0,0.0,0,0,0.0,0,-2.62e-05,0,-0.000401,0,0.003302096,0.003302096,0.003302096,0,0,-2.62e-05,0.0,0,0,-0.000691,0,-0.023071405,0,0,0,0,0,-0.000293,0,0,0.0,0,0,0
1089,52,0,0,0,0,0.0,0,0,0,0,0,-2.68e-05,0,0,0.0,0.003369784,0.0,0,0,0,0.0,0,0,0,-0.00119147,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.68e-05,0,0,0,0,0,0,0,-2.68e-05,0,0,-0.000276,0,0,0,0.0,0.222953308,0,0,0,0,0,0,0,-0.001170867,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.68e-05,0.0,0,0.0,0.02995155,0,-0.000543,0,0,-0.00418577,0,0,0.003389784,0.0,0.0,0.0,-2.68e-05,0,0,0,0.0,1e-05,0,0,-0.000507,-0.000107,0.064139588,0,0,0.0,0,-0.07875715,0,0,0.0,0,-0.001090784,0,0,0.0,0,0,0,0,-0.031041995,0.0,0,0,-2.68e-05,0,-2.68e-05,-0.000401,0,-0.000594,-0.000184,0,0,0.0,0.0,0,0,0.0,0,-2.68e-05,0,-0.000409,0,0.003369784,0.003369784,0.003369784,0,0,-2.68e-05,0.0,0,0,-0.000705,0,-0.023532663,0,0,0,0,0,-0.000299,0,0,0.0,0,0,0
1104,53,0,0,0,0,0.0,0,0,0,0,0,-2.72e-05,0,0,0.0,0.003430372,0.0,0,0,0,0.0,0,0,0,-0.001212893,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.72e-05,0,0,0,0,0,0,0,-2.72e-05,0,0,-0.000281,0,0,0,0.0,0.226028952,0,0,0,0,0,0,0,-0.001191919,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.72e-05,0.000841,0,0.0,0.031275976,0,-0.000552,0,0,-0.004261029,0,0,0.003450372,0.0,0.0,0.0,-2.72e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000109,0.065440455,0,0,0.0,0,-0.083389271,0,0,0.0,0,-0.001110396,0,0,0.0,0,0,0,0,-0.032386027,0.0,0,0,-2.72e-05,0,-2.72e-05,-0.000408,0,-0.000604,-0.000187,0,0,0.0,0.0,0,0,0.0,0,-2.72e-05,0,-0.000417,0,0.003430372,0.003430372,0.003430372,0,0,-2.72e-05,0.0,0,0,-0.000718,0,-0.023894723,0,0,0,0,0,-0.000304,0,0,0.0,0,0,0
1119,54,0,0,0,0,0.0,0,0,0,0,0,-2.77e-05,0,0,0.0,0.003484079,0.0,0,0,0,0.0,0,0,0,-0.001231882,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.77e-05,0,0,0,0,0,0,0,-2.77e-05,0,0,-0.000286,0,0,0,0.0,0.228327767,0,0,0,0,0,0,0,-0.00121058,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.77e-05,0.002315397,0,0.0,0.032475198,0,-0.000561,0,0,-0.004327741,0,0,0.003504079,0.0,0.0,0.0,-2.77e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000111,0.066995879,0,0,0.0,0,-0.08965482,0,0,0.0,0,-0.00112778,0,0,0.0,0,0,0,0,-0.033602628,0.0,0,0,-2.77e-05,0,-2.77e-05,-0.000415,0,-0.000614,-0.00019,0,0,0.0,0.0,0,0,0.0,0,-2.77e-05,0,-0.000423,0,0.003484079,0.003484079,0.003484079,0,0,-2.77e-05,0.0,0,0,-0.000729,0,-0.024179483,0,0,0,0,0,-0.000309,0,0,0.0,0,0,0
1134,55,0,0,0,0,0.0,0,0,0,0,0,-2.8e-05,0,0,0.0,0.003531815,0.0,0,0,0,0.0,0,0,0,-0.00124876,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.8e-05,0,0,0,0,0,0,0,-2.8e-05,0,0,-0.000289,0,0,0,0.0,0.23038438,0,0,0,0,0,0,0,-0.001227166,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.8e-05,0.00361555,0,0.0,0.033564367,0,-0.000569,0,0,-0.004387036,0,0,0.003551815,0.0,0.0,0.0,-2.8e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000112,0.068341724,0,0,0.0,0,-0.095170277,0,0,0.0,0,-0.001143232,0,0,0.0,0,0,0,0,-0.034707244,0.0,0,0,-2.8e-05,0,-2.8e-05,-0.00042,0,-0.000622,-0.000192,0,0,0.0,0.0,0,0,0.0,0,-2.8e-05,0,-0.000429,0,0.003531815,0.003531815,0.003531815,0,0,-2.8e-05,0.0,0,0,-0.000739,0,-0.024402621,0,0,0,0,0,-0.000313,0,0,0.0,0,0,0
1149,56,0,0,0,0,0.0,0,0,0,0,0,-2.84e-05,0,0,0.0,0.003575043,0.0,0,0,0,0.0,0,0,0,-0.001264045,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.84e-05,0,0,0,0,0,0,0,-2.84e-05,0,0,-0.000293,0,0,0,0.0,0.232226127,0,0,0,0,0,0,0,-0.001242186,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.84e-05,0.004816237,0,0.0,0.034556131,0,-0.000576,0,0,-0.004440732,0,0,0.003595043,0.0,0.0,0.0,-2.84e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000114,0.069575721,0,0,0.0,0,-0.100247623,0,0,0.0,0,-0.001157225,0,0,0.0,0,0,0,0,-0.035712996,0.0,0,0,-2.84e-05,0,-2.84e-05,-0.000425,0,-0.00063,-0.000195,0,0,0.0,0.0,0,0,0.0,0,-2.84e-05,0,-0.000434,0,0.003575043,0.003575043,0.003575043,0,0,-2.84e-05,0.0,0,0,-0.000748,0,-0.024609586,0,0,0,0,0,-0.000317,0,0,0.0,0,0,0
1164,57,0,0,0,0,0.0,0,0,0,0,0,-2.87e-05,0,0,0.0,0.003609084,0.0,0,0,0,0.0,0,0,0,-0.00127608,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.87e-05,0,0,0,0,0,0,0,-2.87e-05,0,0,-0.000296,0,0,0,0.0,0.235217354,0,0,0,0,0,0,0,-0.001254014,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.87e-05,0.004101873,0,0.0,0.035394199,0,-0.000581,0,0,-0.004483015,0,0,0.003629084,0.0,0.0,0.0,-2.87e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000115,0.068949373,0,0,0.0,0,-0.098081974,0,0,0.0,0,-0.001168244,0,0,0.0,0,0,0,0,-0.03656208,0.0,0,0,-2.87e-05,0,-2.87e-05,-0.000429,0,-0.000636,-0.000197,0,0,0.0,0.0,0,0,0.0,0,-2.87e-05,0,-0.000438,0,0.003609084,0.003609084,0.003609084,0,0,-2.87e-05,0.0,0,0,-0.000755,0,-0.023944979,0,0,0,0,0,-0.00032,0,0,0.0,0,0,0
1179,58,0,0,0,0,0.0,0,0,0,0,0,-2.89e-05,0,0,0.0,0.003641022,0.0,0,0,0,0.0,0,0,0,-0.001287373,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.89e-05,0,0,0,0,0,0,0,-2.89e-05,0,0,-0.000298,0,0,0,0.0,0.238139002,0,0,0,0,0,0,0,-0.001265111,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.89e-05,0.00330628,0,0.0,0.036176736,0,-0.000586,0,0,-0.004522687,0,0,0.003661022,0.0,0.0,0.0,-2.89e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000116,0.068250373,0,0,0.0,0,-0.095589594,0,0,0.0,0,-0.001178582,0,0,0.0,0,0,0,0,-0.037354952,0.0,0,0,-2.89e-05,0,-2.89e-05,-0.000433,0,-0.000642,-0.000198,0,0,0.0,0.0,0,0,0.0,0,-2.89e-05,0,-0.000442,0,0.003641022,0.003641022,0.003641022,0,0,-2.89e-05,0.0,0,0,-0.000762,0,-0.023267638,0,0,0,0,0,-0.000323,0,0,0.0,0,0,0
1194,59,0,0,0,0,0.0,0,0,0,0,0,-2.91e-05,0,0,0.0,0.003671382,0.0,0,0,0,0.0,0,0,0,-0.001298108,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.91e-05,0,0,0,0,0,0,0,-2.91e-05,0,0,-0.000301,0,0,0,0.0,0.240902204,0,0,0,0,0,0,0,-0.00127566,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.91e-05,0.002563806,0,0.0,0.036911786,0,-0.000591,0,0,-0.004560399,0,0,0.003691382,0.0,0.0,0.0,-2.91e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000117,0.067608842,0,0,0.0,0,-0.093276779,0,0,0.0,0,-0.00118841,0,0,0.0,0,0,0,0,-0.038099826,0.0,0,0,-2.91e-05,0,-2.91e-05,-0.000437,0,-0.000647,-0.0002,0,0,0.0,0.0,0,0,0.0,0,-2.91e-05,0,-0.000446,0,0.003671382,0.003671382,0.003671382,0,0,-2.91e-05,0.0,0,0,-0.000768,0,-0.022639642,0,0,0,0,0,-0.000326,0,0,0.0,0,0,0
1224,60,0,0,0,0,0.0,0,0,0,0,0,-2.94e-05,0,0,0.0,0.00370061,0.0,0,0,0,0.0,0,0,0,-0.001308442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.94e-05,0,0,0,0,0,0,0,-2.94e-05,0,0,-0.000303,0,0,0,0.0,0.243542034,0,0,0,0,0,0,0,-0.001285815,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.94e-05,0.001868819,0,0.0,0.03760646,0,-0.000596,0,0,-0.004596704,0,0,0.00372061,0.0,0.0,0.0,-2.94e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000118,0.067024445,0,0,0.0,0,-0.091131272,0,0,0.0,0,-0.00119787,0,0,0.0,0,0,0,0,-0.038803958,0.0,0,0,-2.94e-05,0,-2.94e-05,-0.00044,0,-0.000652,-0.000202,0,0,0.0,0.0,0,0,0.0,0,-2.94e-05,0,-0.000449,0,0.00370061,0.00370061,0.00370061,0,0,-2.94e-05,0.0,0,0,-0.000774,0,-0.022058149,0,0,0,0,0,-0.000328,0,0,0.0,0,0,0
1239,61,0,0,0,0,0.0,0,0,0,0,0,-2.96e-05,0,0,0.0,0.003729092,0.0,0,0,0,0.0,0,0,0,-0.001318512,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.96e-05,0,0,0,0,0,0,0,-2.96e-05,0,0,-0.000306,0,0,0,0.0,0.246089181,0,0,0,0,0,0,0,-0.001295712,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.96e-05,0.001216315,0,0.0,0.038267063,0,-0.0006,0,0,-0.004632083,0,0,0.003749092,0.0,0.0,0.0,-2.96e-05,0,0,0,0.0,1e-05,0,0,0.0,-0.000118,0.066496681,0,0,0.0,0,-0.089141968,0,0,0.0,0,-0.00120709,0,0,0.0,0,0,0,0,-0.039473778,0.0,0,0,-2.96e-05,0,-2.96e-05,-0.000444,0,-0.000657,-0.000203,0,0,0.0,0.0,0,0,0.0,0,-2.96e-05,0,-0.000453,0,0.003729092,0.003729092,0.003729092,0,0,-2.96e-05,0.0,0,0,-0.00078,0,-0.02152053,0,0,0,0,0,-0.000331,0,0,0.0,0,0,0
