,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
795,42,0,0,0,0,0.0,0,0,0,0,0,-1.25e-06,0,0,0.0,0.000157,0.0,0,0,0,0.0,0,0,0,-5.55e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.25e-06,0,0,0,0,0,0,0,-1.52e-05,0,0,0.0,0,0,0,0.0,0.010304806,0,0,0,0,0,0,0,-5.45e-05,7.53e-05,0,0.0,0,0,0,0,0,0,0,0,0,-1.25e-06,0.0,0,0.0,0.0,0,0.0,0,0,-0.000195,0,0,0.000177,0.0,0.0,0.001830298,-1.25e-06,0,0,0,0.0,9.25e-06,0,0,0.0,-4.98e-06,0.002986408,0,0,0.0,0,0.0,0,0,0.0,0,-5.08e-05,0,0,0.0,0,0,0,0,-5.08e-05,-0.00539634,0,0,-1.25e-06,0,-1.25e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.25e-06,0,-1.91e-05,0,0.000157,0.000157,0.000157,0,0,-1.25e-06,0.0,0,0,0.0,0,-0.000158,0,0,0,0,0,0.0,0,0,0.0,0,0,0
809,43,0,0,0,0,0.0,0,0,0,0,0,-2.54e-06,0,0,0.0,0.00032,0.0,0,0,0,0.0,0,0,0,-0.000113,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.54e-06,0,0,0,0,0,0,0,-3.09e-05,0,0,0.0,0,0,0,0.0,0.021347404,0,0,0,0,0,0,0,-0.000111,0.000154,0,0.0,0,0,0,0,0,0,0,0,0,-2.54e-06,0.0,0,-0.000252,0.0,0,0.0,0,0,-0.000398,0,0,0.00034,0.0,0.0,0.003441969,-2.54e-06,0,0,0,0.0,7.67e-06,0,0,0.0,0.0,0.006076865,0,0,-1.02e-05,0,0.0,0,0,0.0,0,-0.000104,0,0,0.0,0,0,0,0,-0.000104,-0.011094191,0,0,-2.54e-06,0,-2.54e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.54e-06,0,-3.89e-05,0,0.00032,0.00032,0.00032,0,0,-2.54e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
823,44,0,0,0,0,0.0,0,0,0,0,0,-3.78e-06,0,0,0.0,0.000476,0.0,0,0,0,0.0,0,0,0,-0.000168,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-3.78e-06,0,0,0,0,0,0,0,-4.6e-05,0,0,0.0,0,0,0,0.0,0.031773731,0,0,0,0,0,0,0,-0.000165,0.000229,0,0.0,0,0,0,0,0,0,0,0,0,-3.78e-06,0.0,0,-0.000813,0.0,0,0.0,0,0,-0.000592,0,0,0.000496,0.0,0.0,0.004901679,-3.78e-06,0,0,0,0.0,7.18e-06,0,0,0.0,0.0,0.009272735,0,0,-1.51e-05,0,0.0,0,0,0.0,0,-0.000154,0,0,0.0,0,0,0,0,-0.000154,-0.016080316,0,0,-3.78e-06,0,-3.78e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-3.78e-06,0,-5.78e-05,0,0.000476,0.000476,0.000476,0,0,-3.78e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
837,45,0,0,0,0,0.0,0,0,0,0,0,-4.97e-06,0,0,0.0,0.000626,0.0,0,0,0,0.0,0,0,0,-0.000221,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-4.97e-06,0,0,0,0,0,0,0,-6.05e-05,0,0,0.0,0,0,0,0.0,0.041793185,0,0,0,0,0,0,0,-0.000218,0.000301,0,0.0,0,0,0,0,0,0,0,0,0,-4.97e-06,0.0,0,-0.001523836,0.0,0,0.0,0,0,-0.000778,0,0,0.000646,0.0,0.0,0.006218807,-4.97e-06,0,0,0,0.0,6.99e-06,0,0,0.0,0.0,0.012429459,0,0,-1.99e-05,0,0.0,0,0,0.0,0,-0.000203,0,0,0.0,0,0,0,0,-0.000203,-0.020700457,0,0,-4.97e-06,0,-4.97e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-4.97e-06,0,-7.61e-05,0,0.000626,0.000626,0.000626,0,0,-4.97e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
851,46,0,0,0,0,0.0,0,0,0,0,0,-6.13e-06,0,0,0.0,0.000772,0.0,0,0,0,0.0,0,0,0,-0.000273,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-6.13e-06,0,0,0,0,0,0,0,-7.46e-05,0,0,0.0,0,0,0,0.0,0.051481017,0,0,0,0,0,0,0,-0.000268,0.00037,0,0.0,0,0,0,0,0,0,0,0,0,-6.13e-06,0.0,0,-0.002415798,0.0,0,0.0,0,0,-0.000958,0,0,0.000792,0.0,0.0,0.007389929,-6.13e-06,0,0,0,0.0,6.49e-06,0,0,0.0,0.0,0.015584169,0,0,-2.45e-05,0,0.0,0,0,0.0,0,-0.00025,0,0,0.0,0,0,0,0,-0.00025,-0.024963048,0,0,-6.13e-06,0,-6.13e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-6.13e-06,0,-9.37e-05,0,0.000772,0.000772,0.000772,0,0,-6.13e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
865,47,0,0,0,0,0.0,0,0,0,0,0,-7.25e-06,0,0,0.0,0.000913,0.0,0,0,0,0.0,0,0,0,-0.000323,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-7.25e-06,0,0,0,0,0,0,0,-8.82e-05,0,0,0.0,0,0,0,0.0,0.060919035,0,0,0,0,0,0,0,-0.000317,0.000438,0,0.0,0,0,0,0,0,0,0,0,0,-7.25e-06,0.0,0,-0.003513812,0.0,0,0.0,0,0,-0.001134093,0,0,0.000933,0.0,0.0,0.008416391,-7.25e-06,0,0,0,0.0,6.28e-06,0,0,0.0,0.0,0.018771946,0,0,-2.9e-05,0,0.0,0,0,0.0,0,-0.000296,0,0,0.0,0,0,0,0,-0.000295,-0.028886638,0,0,-7.25e-06,0,-7.25e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-7.25e-06,0,-0.000111,0,0.000913,0.000913,0.000913,0,0,-7.25e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
879,48,0,0,0,0,0.0,0,0,0,0,0,-8.35e-06,0,0,0.0,0.00105175,0.0,0,0,0,0.0,0,0,0,-0.000372,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-8.35e-06,0,0,0,0,0,0,0,-0.000102,0,0,0.0,0,0,0,0.0,0.070177693,0,0,0,0,0,0,0,-0.000365,0.000505,0,0.0,0,0,0,0,0,0,0,0,0,-8.35e-06,0.0,0,-0.00481701,0.0,0,0.0,0,0,-0.001306428,0,0,0.00107175,0.0,0.0,0.009310345,-8.35e-06,0,0,0,0.0,6.17e-06,0,0,0.0,0.0,0.022012124,0,0,-3.34e-05,0,0.0,0,0,0.0,0,-0.00034,0,0,0.0,0,0,0,0,-0.00034,-0.032509598,0,0,-8.35e-06,0,-8.35e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-8.35e-06,0,-0.000128,0,0.00105175,0.00105175,0.00105175,0,0,-8.35e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
893,49,0,0,0,0,0.0,0,0,0,0,0,-9.43e-06,0,0,0.0,0.001188113,0.0,0,0,0,0.0,0,0,0,-0.00042,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-9.43e-06,0,0,0,0,0,0,0,-0.000115,0,0,0.0,0,0,0,0.0,0.079277737,0,0,0,0,0,0,0,-0.000413,0.00057,0,0.0,0,0,0,0,0,0,0,0,0,-9.43e-06,0.0,0,-0.006326048,0.0,0,0.0,0,0,-0.001475812,0,0,0.001208113,0.0,0.0,0.010074912,-9.43e-06,0,0,0,0.0,6.11e-06,0,0,0.0,0.0,0.025310858,0,0,-3.77e-05,0,0.0,0,0,0.0,0,-0.000385,0,0,0.0,0,0,0,0,-0.000384,-0.035842321,0,0,-9.43e-06,0,-9.43e-06,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-9.43e-06,0,-0.000144,0,0.001188113,0.001188113,0.001188113,0,0,-9.43e-06,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1057,50,0,0,0,0,0.0,0,0,0,0,0,-1.05e-05,0,0,0.0,0.001321889,0.0,0,0,0,0.0,0,0,0,-0.000467,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.05e-05,0,0,0,0,0,0,0,-0.000128,0,0,0.0,0,0,0,0.0,0.088205101,0,0,0,0,0,0,0,-0.000459,0.000634,0,0.0,0,0,0,0,0,0,0,0,0,-1.05e-05,0.0,0,-0.008036703,0.0,0,0.0,0,0,-0.001641981,0,0,0.001341889,0.0,0.0,0.010709849,-1.05e-05,0,0,0,0.0,6.06e-06,0,0,0.0,0.0,0.028662115,0,0,-4.2e-05,0,0.0,0,0,0.0,0,-0.000428,0,0,0.0,0,0,0,0,-0.000428,-0.038881549,0,0,-1.05e-05,0,-1.05e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.05e-05,0,-0.000161,0,0.001321889,0.001321889,0.001321889,0,0,-1.05e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1072,51,0,0,0,0,0.0,0,0,0,0,0,-1.15e-05,0,0,0.0,0.001454498,0.0,0,0,0,0.0,0,0,0,-0.000514,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.15e-05,0,0,0,0,0,0,0,-0.000141,0,0,0.0,0,0,0,0.0,0.097054378,0,0,0,0,0,0,0,-0.000505,0.000698,0,0.0,0,0,0,0,0,0,0,0,0,-1.15e-05,0.0,0,-0.009952915,0.0,0,0.0,0,0,-0.001806702,0,0,0.001474498,0.0,0.0,0.011229075,-1.15e-05,0,0,0,0.0,6.45e-06,0,0,0.0,0.0,0.032094143,0,0,-4.62e-05,0,0.0,0,0,0.0,0,-0.000471,0,0,0.0,0,0,0,0,-0.000471,-0.041673621,0,0,-1.15e-05,0,-1.15e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.15e-05,0,-0.000177,0,0.001454498,0.001454498,0.001454498,0,0,-1.15e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1087,52,0,0,0,0,0.0,0,0,0,0,0,-1.26e-05,0,0,0.0,0.00158624,0.0,0,0,0,0.0,0,0,0,-0.000561,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.26e-05,0,0,0,0,0,0,0,-0.000153,0,0,0.0,0,0,0,0.0,0.105845921,0,0,0,0,0,0,0,-0.000551,0.000761,0,0.0,0,0,0,0,0,0,0,0,0,-1.26e-05,0.0,0,-0.012075549,0.0,0,0.0,0,0,-0.001970344,0,0,0.00160624,0.0,0.0,0.011635368,-1.26e-05,0,0,0,0.0,6.48e-06,0,0,0.0,0.0,0.035613385,0,0,-5.04e-05,0,0.0,0,0,0.0,0,-0.000513,0,0,0.0,0,0,0,0,-0.000513,-0.044228595,0,0,-1.26e-05,0,-1.26e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.26e-05,0,-0.000193,0,0.00158624,0.00158624,0.00158624,0,0,-1.26e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1102,53,0,0,0,0,0.0,0,0,0,0,0,-1.36e-05,0,0,0.0,0.001717575,0.0,0,0,0,0.0,0,0,0,-0.000607,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.36e-05,0,0,0,0,0,0,0,-0.000166,0,0,0.0,0,0,0,0.0,0.114610383,0,0,0,0,0,0,0,-0.000597,0.000824,0,0.0,0,0,0,0,0,0,0,0,0,-1.36e-05,0.0,0,-0.01440903,0.0,0,0.0,0,0,-0.002133482,0,0,0.001737575,0.0,0.0,0.0119317,-1.36e-05,0,0,0,0.0,6.45e-06,0,0,0.0,0.0,0.039230507,0,0,-5.45e-05,0,0.0,0,0,0.0,0,-0.000556,0,0,0.0,0,0,0,0,-0.000556,-0.046558323,0,0,-1.36e-05,0,-1.36e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.36e-05,0,-0.000209,0,0.001717575,0.001717575,0.001717575,0,0,-1.36e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1117,54,0,0,0,0,0.0,0,0,0,0,0,-1.47e-05,0,0,0.0,0.001848837,0.0,0,0,0,0.0,0,0,0,-0.000654,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.47e-05,0,0,0,0,0,0,0,-0.000179,0,0,0.0,0,0,0,0.0,0.123369976,0,0,0,0,0,0,0,-0.000642,0.000887,0,0.0,0,0,0,0,0,0,0,0,0,-1.47e-05,0.0,0,-0.016958673,0.0,0,0.0,0,0,-0.002296528,0,0,0.001868837,0.0,0.0,0.012119134,-1.47e-05,0,0,0,0.0,6.39e-06,0,0,0.0,0.0,0.042954358,0,0,-5.87e-05,0,0.0,0,0,0.0,0,-0.000598,0,0,0.0,0,0,0,0,-0.000598,-0.048669301,0,0,-1.47e-05,0,-1.47e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.47e-05,0,-0.000225,0,0.001848837,0.001848837,0.001848837,0,0,-1.47e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1132,55,0,0,0,0,0.0,0,0,0,0,0,-1.57e-05,0,0,0.0,0.001980302,0.0,0,0,0,0.0,0,0,0,-0.0007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.57e-05,0,0,0,0,0,0,0,-0.000191,0,0,0.0,0,0,0,0.0,0.132143679,0,0,0,0,0,0,0,-0.000688,0.00095,0,0.0,0,0,0,0,0,0,0,0,0,-1.57e-05,0.0,0,-0.019727981,0.0,0,0.0,0,0,-0.002459828,0,0,0.002000302,0.0,0.0,0.01219888,-1.57e-05,0,0,0,0.0,5.45e-06,0,0,0.0,0.0,0.046792349,0,0,-6.29e-05,0,0.0,0,0,0.0,0,-0.000641,0,0,0.0,0,0,0,0,-0.000641,-0.050568232,0,0,-1.57e-05,0,-1.57e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.57e-05,0,-0.00024,0,0.001980302,0.001980302,0.001980302,0,0,-1.57e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1147,56,0,0,0,0,0.0,0,0,0,0,0,-1.68e-05,0,0,0.0,0.002112673,0.0,0,0,0,0.0,0,0,0,-0.000747,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.68e-05,0,0,0,0,0,0,0,-0.000204,0,0,0.0,0,0,0,0.0,0.140977436,0,0,0,0,0,0,0,-0.000734,0.001013817,0,0.0,0,0,0,0,0,0,0,0,0,-1.68e-05,0.0,0,-0.02273434,0.0,0,0.0,0,0,-0.002624252,0,0,0.002132673,0.0,0.0,0.012170262,-1.68e-05,0,0,0,0.0,5.09e-06,0,0,0.0,0.0,0.050765421,0,0,-6.71e-05,0,0.0,0,0,0.0,0,-0.000684,0,0,0.0,0,0,0,0,-0.000684,-0.052261992,0,0,-1.68e-05,0,-1.68e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.68e-05,0,-0.000257,0,0.002112673,0.002112673,0.002112673,0,0,-1.68e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1162,57,0,0,0,0,0.0,0,0,0,0,0,-1.78e-05,0,0,0.0,0.00224081,0.0,0,0,0,0.0,0,0,0,-0.000792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.78e-05,0,0,0,0,0,0,0,-0.000217,0,0,0.0,0,0,0,0.0,0.14952844,0,0,0,0,0,0,0,-0.000779,0.001075307,0,0.0,0,0,0,0,0,0,0,0,0,-1.78e-05,0.0,0,-0.02587528,0.0,0,0.0,0,0,-0.002783417,0,0,0.00226081,0.0,0.0,0.012027259,-1.78e-05,0,0,0,0.0,5.17e-06,0,0,0.0,0.0,0.054726546,0,0,-7.12e-05,0,0.0,0,0,0.0,0,-0.000725,0,0,0.0,0,0,0,0,-0.000725,-0.053670674,0,0,-1.78e-05,0,-1.78e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.78e-05,0,-0.000272,0,0.00224081,0.00224081,0.00224081,0,0,-1.78e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1177,58,0,0,0,0,0.0,0,0,0,0,0,-1.88e-05,0,0,0.0,0.002370604,0.0,0,0,0,0.0,0,0,0,-0.000838,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.88e-05,0,0,0,0,0,0,0,-0.000229,0,0,0.0,0,0,0,0.0,0.158190072,0,0,0,0,0,0,0,-0.000824,0.001137592,0,0.0,0,0,0,0,0,0,0,0,0,-1.88e-05,0.0,0,-0.029209367,0.0,0,0.0,0,0,-0.002944641,0,0,0.002390604,0.0,0.0,0.011806126,-1.88e-05,0,0,0,0.0,5.15e-06,0,0,0.0,0.0,0.058815217,0,0,-7.53e-05,0,0.0,0,0,0.0,0,-0.000767,0,0,0.0,0,0,0,0,-0.000767,-0.054945082,0,0,-1.88e-05,0,-1.88e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.88e-05,0,-0.000288,0,0.002370604,0.002370604,0.002370604,0,0,-1.88e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1192,59,0,0,0,0,0.0,0,0,0,0,0,-1.99e-05,0,0,0.0,0.002502253,0.0,0,0,0,0.0,0,0,0,-0.000885,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.99e-05,0,0,0,0,0,0,0,-0.000242,0,0,0.0,0,0,0,0.0,0.166975328,0,0,0,0,0,0,0,-0.000869,0.001200766,0,0.0,0,0,0,0,0,0,0,0,0,-1.99e-05,0.0,0,-0.032736015,0.0,0,0.0,0,0,-0.003108168,0,0,0.002522253,0.0,0.0,0.01150941,-1.99e-05,0,0,0,0.0,5.38e-06,0,0,0.0,0.0,0.063034626,0,0,-7.95e-05,0,0.0,0,0,0.0,0,-0.00081,0,0,0.0,0,0,0,0,-0.00081,-0.056092673,0,0,-1.99e-05,0,-1.99e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.99e-05,0,-0.000304,0,0.002502253,0.002502253,0.002502253,0,0,-1.99e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1222,60,0,0,0,0,0.0,0,0,0,0,0,-2.09e-05,0,0,0.0,0.002635956,0.0,0,0,0,0.0,0,0,0,-0.000932,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.09e-05,0,0,0,0,0,0,0,-0.000255,0,0,0.0,0,0,0,0.0,0.175897908,0,0,0,0,0,0,0,-0.000916,0.001264927,0,0.0,0,0,0,0,0,0,0,0,0,-2.09e-05,0.0,0,-0.03645537,0.0,0,0.0,0,0,-0.003274247,0,0,0.002655956,0.0,0.0,0.011139153,-2.09e-05,0,0,0,0.0,5.15e-06,0,0,0.0,0.0,0.067388975,0,0,-8.37e-05,0,0.0,0,0,0.0,0,-0.000853,0,0,0.0,0,0,0,0,-0.000853,-0.057120679,0,0,-2.09e-05,0,-2.09e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.09e-05,0,-0.00032,0,0.002635956,0.002635956,0.002635956,0,0,-2.09e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1237,61,0,0,0,0,0.0,0,0,0,0,0,-2.2e-05,0,0,0.0,0.002771906,0.0,0,0,0,0.0,0,0,0,-0.00098,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.2e-05,0,0,0,0,0,0,0,-0.000268,0,0,0.0,0,0,0,0.0,0.184970258,0,0,0,0,0,0,0,-0.000963,0.001330166,0,0.0,0,0,0,0,0,0,0,0,0,-2.2e-05,0.0,0,-0.040366915,0.0,0,0.0,0,0,-0.003443116,0,0,0.002791906,0.0,0.0,0.010697882,-2.2e-05,0,0,0,0.0,5.25e-06,0,0,0.0,0.0,0.071881152,0,0,-8.8e-05,0,0.0,0,0,0.0,0,-0.000897,0,0,0.0,0,0,0,0,-0.000897,-0.058036141,0,0,-2.2e-05,0,-2.2e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.2e-05,0,-0.000337,0,0.002771906,0.002771906,0.002771906,0,0,-2.2e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1252,62,0,0,0,0,0.0,0,0,0,0,0,-2.31e-05,0,0,0.0,0.002910287,0.0,0,0,0,0.0,0,0,0,-0.001029004,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.31e-05,0,0,0,0,0,0,0,-0.000281,0,0,0.0,0,0,0,0.0,0.194204805,0,0,0,0,0,0,0,-0.00101121,0.001396571,0,0.0,0,0,0,0,0,0,0,0,0,-2.31e-05,0.0,0,-0.044470454,0.0,0,0.0,0,0,-0.003615007,0,0,0.002930287,0.0,0.0,0.010187726,-2.31e-05,0,0,0,0.0,5.5e-06,0,0,0.0,0.0,0.076514613,0,0,-9.24e-05,0,0.0,0,0,0.0,0,-0.000942,0,0,0.0,0,0,0,0,-0.000942,-0.058845888,0,0,-2.31e-05,0,-2.31e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.31e-05,0,-0.000353,0,0.002910287,0.002910287,0.002910287,0,0,-2.31e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
