,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
785,41,0,0,0,0,0.0,0,0,0,0,0,-1.09e-05,0,0,0.0,0.003515185,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.09e-05,0,0,0,0,0,0,0,-0.004602907,0,0,0.0,0,0,0,0.0,0.080524928,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.09e-05,-0.023653436,0,0.0,0.0,0,0.0,0,0,-0.002854275,0,0,0.003535185,0.0,0.0,-0.030127602,-1.09e-05,0,0,0,0.003820684,-1e-05,0,0,0.0,0.0,0.0,0,0,-4.35e-05,0,0.0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.09e-05,0,-1.09e-05,0.0,0,0.0,0.0,0,0,0.035028194,0.0,0,0,0.0,0,-1.09e-05,0,0.0,0,0.003515185,0.003515185,0.003515185,0,0,-1.09e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
796,42,0,0,0,0,0.0,0,0,0,0,0,-1.24e-05,0,0,0.0,0.003995515,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.24e-05,0,0,0,0,0,0,0,-0.000889,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.24e-05,-0.008865552,0,-0.014164879,0.0,0,-0.031578571,0,0,-0.003244296,0,0,0.003995515,0.0,0.0,0.011499087,-1.24e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.24e-05,0.0,0,0,-3.71e-05,0,0.060299341,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.24e-05,0,-1.24e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.24e-05,0,0.0,0,0.003995515,0.003995515,0.003995515,0,0,-1.24e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
810,43,0,0,0,0,0.0,0,0,0,0,0,-1.34e-05,0,0,0.0,0.004314623,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.34e-05,0,0,0,0,0,0,0,-0.00096,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.34e-05,-0.009573746,0,-0.01529578,0.0,0,-0.034101043,0,0,-0.003503406,0,0,0.004314623,0.0,0.0,0.01241748,-1.34e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.34e-05,0.0,0,0,-4.01e-05,0,0.065116044,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.34e-05,0,-1.34e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.34e-05,0,0.0,0,0.004314623,0.004314623,0.004314623,0,0,-1.34e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
824,44,0,0,0,0,0.0,0,0,0,0,0,-1.42e-05,0,0,0.0,0.004584441,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.42e-05,0,0,0,0,0,0,0,-0.001020161,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.42e-05,-0.01017255,0,-0.016251998,0.0,0,-0.036233884,0,0,-0.003722494,0,0,0.004584441,0.0,0.0,0.013194014,-1.42e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.42e-05,0.0,0,0,-4.26e-05,0,0.069188738,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.42e-05,0,-1.42e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.42e-05,0,0.0,0,0.004584441,0.004584441,0.004584441,0,0,-1.42e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
838,45,0,0,0,0,0.0,0,0,0,0,0,-1.5e-05,0,0,0.0,0.004854821,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.5e-05,0,0,0,0,0,0,0,-0.001080327,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.5e-05,-0.010772604,0,-0.017210211,0.0,0,-0.038371175,0,0,-0.003942039,0,0,0.004854821,0.0,0.0,0.013972168,-1.5e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.5e-05,0.0,0,0,-4.51e-05,0,0.073269929,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.5e-05,0,-1.5e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.5e-05,0,0.0,0,0.004854821,0.004854821,0.004854821,0,0,-1.5e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
852,46,0,0,0,0,0.0,0,0,0,0,0,-1.59e-05,0,0,0.0,0.005131903,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.59e-05,0,0,0,0,0,0,0,-0.001141986,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.59e-05,-0.01138753,0,-0.018192175,0.0,0,-0.040561443,0,0,-0.004167025,0,0,0.005131903,0.0,0.0,0.014769611,-1.59e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.59e-05,0.0,0,0,-4.77e-05,0,0.077452282,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.59e-05,0,-1.59e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.59e-05,0,0.0,0,0.005131903,0.005131903,0.005131903,0,0,-1.59e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
866,47,0,0,0,0,0.0,0,0,0,0,0,-1.68e-05,0,0,0.0,0.005411077,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.68e-05,0,0,0,0,0,0,0,-0.001204109,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.68e-05,-0.012007098,0,-0.01918155,0.0,0,-0.042768242,0,0,-0.00439371,0,0,0.005411077,0.0,0.0,0.015573072,-1.68e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.68e-05,0.0,0,0,-5.03e-05,0,0.0816662,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.68e-05,0,-1.68e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.68e-05,0,0.0,0,0.005411077,0.005411077,0.005411077,0,0,-1.68e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
880,48,0,0,0,0,0.0,0,0,0,0,0,-1.76e-05,0,0,0.0,0.005681666,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.76e-05,0,0,0,0,0,0,0,-0.001264323,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.76e-05,-0.012607615,0,-0.020140503,0.0,0,-0.044907184,0,0,-0.004613424,0,0,0.005681666,0.0,0.0,0.016351827,-1.76e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.76e-05,0.0,0,0,-5.28e-05,0,0.085750545,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.76e-05,0,-1.76e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.76e-05,0,0.0,0,0.005681666,0.005681666,0.005681666,0,0,-1.76e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
894,49,0,0,0,0,0.0,0,0,0,0,0,-1.84e-05,0,0,0.0,0.005943199,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.84e-05,0,0,0,0,0,0,0,-0.001322521,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.84e-05,-0.013188033,0,-0.02106736,0.0,0,-0.046974536,0,0,-0.004825784,0,0,0.005943199,0.0,0.0,0.017104518,-1.84e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.84e-05,0.0,0,0,-5.52e-05,0,0.089698186,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.84e-05,0,-1.84e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.84e-05,0,0.0,0,0.005943199,0.005943199,0.005943199,0,0,-1.84e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1058,50,0,0,0,0,0.0,0,0,0,0,0,-1.9e-05,0,0,0.0,0.006151764,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.9e-05,0,0,0,0,0,0,0,-0.001368932,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.9e-05,-0.013650899,0,-0.021806502,0.0,0,-0.04862319,0,0,-0.004995136,0,0,0.006151764,0.0,0.0,0.017704768,-1.9e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.9e-05,0.0,0,0,-5.71e-05,0,0.09284632,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.9e-05,0,-1.9e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.9e-05,0,0.0,0,0.006151764,0.006151764,0.006151764,0,0,-1.9e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1073,51,0,0,0,0,0.0,0,0,0,0,0,-1.97e-05,0,0,0.0,0.006362001,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-1.97e-05,0,0,0,0,0,0,0,-0.001415715,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-1.97e-05,-0.014117477,0,-0.02255157,0.0,0,-0.050285062,0,0,-0.005165845,0,0,0.006362001,0.0,0.0,0.018309829,-1.97e-05,0,0,0,0.0,1e-05,0,0,0.0,-1.97e-05,0.0,0,0,-5.91e-05,0,0.09601969,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-1.97e-05,0,-1.97e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-1.97e-05,0,0.0,0,0.006362001,0.006362001,0.006362001,0,0,-1.97e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1088,52,0,0,0,0,0.0,0,0,0,0,0,-2.04e-05,0,0,0.0,0.0065731,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.04e-05,0,0,0,0,0,0,0,-0.00146269,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.04e-05,-0.014585968,0,-0.023299693,0.0,0,-0.051953749,0,0,-0.005337254,0,0,0.0065731,0.0,0.0,0.018917372,-2.04e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.04e-05,0.0,0,0,-6.11e-05,0,0.099206076,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.04e-05,0,-2.04e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.04e-05,0,0.0,0,0.0065731,0.0065731,0.0065731,0,0,-2.04e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1103,53,0,0,0,0,0.0,0,0,0,0,0,-2.1e-05,0,0,0.0,0.006783647,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.1e-05,0,0,0,0,0,0,0,-0.001509543,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.1e-05,-0.015053233,0,-0.02404586,0.0,0,-0.053618072,0,0,-0.005508215,0,0,0.006783647,0.0,0.0,0.019523326,-2.1e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.1e-05,0.0,0,0,-6.3e-05,0,0.102384128,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.1e-05,0,-2.1e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.1e-05,0,0.0,0,0.006783647,0.006783647,0.006783647,0,0,-2.1e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1118,54,0,0,0,0,0.0,0,0,0,0,0,-2.16e-05,0,0,0.0,0.006991298,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.16e-05,0,0,0,0,0,0,0,-0.001555751,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.16e-05,-0.015514071,0,-0.024781763,0.0,0,-0.055259501,0,0,-0.005676824,0,0,0.006991298,0.0,0.0,0.020120945,-2.16e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.16e-05,0.0,0,0,-6.49e-05,0,0.105518462,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.16e-05,0,-2.16e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.16e-05,0,0.0,0,0.006991298,0.006991298,0.006991298,0,0,-2.16e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1133,55,0,0,0,0,0.0,0,0,0,0,0,-2.23e-05,0,0,0.0,0.007195439,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.23e-05,0,0,0,0,0,0,0,-0.001601177,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.23e-05,-0.01596712,0,-0.025505228,0.0,0,-0.056873187,0,0,-0.005842584,0,0,0.007195439,0.0,0.0,0.020708463,-2.23e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.23e-05,0.0,0,0,-6.68e-05,0,0.108599823,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.23e-05,0,-2.23e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.23e-05,0,0.0,0,0.007195439,0.007195439,0.007195439,0,0,-2.23e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1148,56,0,0,0,0,0.0,0,0,0,0,0,-2.29e-05,0,0,0.0,0.007393191,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.29e-05,0,0,0,0,0,0,0,-0.001645183,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.29e-05,-0.016405991,0,-0.026206051,0.0,0,-0.058436372,0,0,-0.006003156,0,0,0.007393191,0.0,0.0,0.021277594,-2.29e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.29e-05,0.0,0,0,-6.87e-05,0,0.11158475,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.29e-05,0,-2.29e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.29e-05,0,0.0,0,0.007393191,0.007393191,0.007393191,0,0,-2.29e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1163,57,0,0,0,0,0.0,0,0,0,0,0,-2.33e-05,0,0,0.0,0.007524228,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.33e-05,0,0,0,0,0,0,0,-0.001674342,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.33e-05,-0.016696799,0,-0.026670437,0.0,0,-0.059472183,0,0,-0.006109555,0,0,0.007524228,0.0,0.0,0.021654717,-2.33e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.33e-05,0.0,0,0,-6.99e-05,0,0.113562647,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.33e-05,0,-2.33e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.33e-05,0,0.0,0,0.007524228,0.007524228,0.007524228,0,0,-2.33e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1178,58,0,0,0,0,0.0,0,0,0,0,0,-2.37e-05,0,0,0.0,0.00764928,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.37e-05,0,0,0,0,0,0,0,-0.001702169,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.37e-05,-0.016974326,0,-0.027113613,0.0,0,-0.060460688,0,0,-0.006211095,0,0,0.00764928,0.0,0.0,0.022014616,-2.37e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.37e-05,0.0,0,0,-7.11e-05,0,0.115450213,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.37e-05,0,-2.37e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.37e-05,0,0.0,0,0.00764928,0.00764928,0.00764928,0,0,-2.37e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1193,59,0,0,0,0,0.0,0,0,0,0,0,-2.41e-05,0,0,0.0,0.007768519,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.41e-05,0,0,0,0,0,0,0,-0.001728703,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.41e-05,-0.017238952,0,-0.02753619,0.0,0,-0.061403244,0,0,-0.006307915,0,0,0.007768519,0.0,0.0,0.022357786,-2.41e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.41e-05,0.0,0,0,-7.22e-05,0,0.117250039,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.41e-05,0,-2.41e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.41e-05,0,0.0,0,0.007768519,0.007768519,0.007768519,0,0,-2.41e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1223,60,0,0,0,0,0.0,0,0,0,0,0,-2.44e-05,0,0,0.0,0.007882475,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.44e-05,0,0,0,0,0,0,0,-0.001754061,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.44e-05,-0.017491854,0,-0.027940043,0.0,0,-0.062304037,0,0,-0.006400446,0,0,0.007882475,0.0,0.0,0.022685751,-2.44e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.44e-05,0.0,0,0,-7.32e-05,0,0.118970118,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.44e-05,0,-2.44e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.44e-05,0,0.0,0,0.007882475,0.007882475,0.007882475,0,0,-2.44e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1238,61,0,0,0,0,0.0,0,0,0,0,0,-2.47e-05,0,0,0.0,0.007991308,0.0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.0,0,0,-2.47e-05,0,0,0,0,0,0,0,-0.00177828,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2.47e-05,-0.017733387,0,-0.028325743,0.0,0,-0.063164339,0,0,-0.006488817,0,0,0.007991308,0.0,0.0,0.022998974,-2.47e-05,0,0,0,0.0,1e-05,0,0,0.0,-2.47e-05,0.0,0,0,-7.42e-05,0,0.120612879,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,-2.47e-05,0,-2.47e-05,0.0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,-2.47e-05,0,0.0,0,0.007991308,0.007991308,0.007991308,0,0,-2.47e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
