,cycle,cpd08023,MEMLIP_c0,cpd00423,cpd00540,cpd00528,cpd00531,cpd00655,cpd01741,cpd00412,cpd00654,cpd00099,cpd00098,cpd00094,cpd04450,cpd11416,cpd00092,cpd11575,cpd11576,cpd11578,cpd15378,cpd11574,cpd00558,cpd00438,cpd00322,cpd00204,cpd03279,cpd03396,cpd01092,cpd00309,cpd00305,cpd00307,cpd00314,N2A24D5MH4U15P_c0,cpd00797,cpd00550,cpd00794,cpd00430,cpd01080,cpd11597,cpd11593,cpd11595,cpd11596,cpd11590,cpd11591,cpd11592,cpd03847,cpd03725,cpd00224,cpd00226,cpd00105,cpd00588,cpd00104,cpd00220,cpd00221,cpd04383,cpd11586,cpd11587,cpd11588,cpd11589,cpd11582,cpd15269,cpd11583,cpd11584,cpd11585,cpd00209,cpd11580,cpd11581,cpd00205,cpd03724,cpd00214,cpd03048,cpd00211,cpd00210,cpd11579,cpd00118,cpd00239,cpd01329,cpd00117,cpd00119,cpd00246,cpd00367,cpd00489,cpd00244,cpd00001,cpd00122,cpd03198,cpd15605,cpd15606,cpd15603,cpd15604,cpd08636,cpd00107,cpd00106,cpd00108,cpd00235,cpd00355,cpd02775,cpd02893,cpd00111,cpd08305,cpd09878,cpd08306,FLGN_e0,cpd00268,cpd00149,cpd00027,cpd00264,cpd00023,cpd00141,cpd00020,cpd00129,cpd00007,cpd00249,cpd00009,cpd00138,cpd00137,cpd00011,cpd00132,cpd00131,cpd00013,cpd00254,cpd00012,cpd00130,cpd01017,cpd00048,cpd00047,cpd00164,cpd01012,cpd00161,cpd10516,cpd00041,cpd00162,cpd00280,cpd10515,cpd01914,cpd00029,cpd00703,cpd00158,cpd01007,cpd00036,cpd00039,cpd00159,cpd03424,cpd00033,cpd00396,cpd00154,cpd03422,cpd00395,cpd00156,cpd00035,cpd00277,cpd01242,cpd00034,cpd00276,cpd00030,cpd00069,cpd01711,cpd00066,cpd00065,cpd00186,cpd03696,cpd00067,cpd01034,cpd01155,cpd00182,cpd00064,cpd01030,cpd00063,cpd00184,cpd00060,cpd15302,cpd17043,cpd17042,cpd17041,cpd00971,cpd00179,cpd00058,cpd01024,cpd00176,cpd00054,cpd00051,cpd01262,cpd00053,cpd04097,cpd15573,cpd00635,cpd00637,cpd02701,cpd00084,cpd00080,cpd01171,cpd00082,cpd11640,cpd00076,cpd00073
801,42,0,0,0,0,0.0,0,0,0,0,0,-2e-05,0,0,0.0,0.006462874,0.0,0,0,0,0.0,0,0,0,-0.001562713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.049068189,0,0,-2e-05,0,0,0,0,0,0,0,-0.000592,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.002976627,0.0,0,0.0,0,0,0,0,0,0,0,0,0,-2e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.005247753,0,0,0.006482874,-0.001297944,0.0,-0.094161881,-2e-05,0,0,0,0.0,-8.01e-07,0,0,0.0,-2e-05,0.0,0,0,-6e-05,0,-0.106345082,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.002316463,0.0,0,0,-2e-05,0,-2e-05,0.0,0,0.0,0.0,0,0,0.401182743,0.0,0,0,0.0,0,-2e-05,0,-0.000846,0,0.006462874,0.006462874,0.006462874,0,0,-2e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
815,43,0,0,0,0,0.0,0,0,0,0,0,-4e-05,0,0,0.0,0.012906911,0.0,0,0,0,0.0,0,0,0,-0.003120872,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.098007038,0,0,-4e-05,0,0,0,0,0,0,0,-0.001182645,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.005944577,-2.03e-05,0,0.0,0,0,0,0,0,0,0,0,0,-4e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.01048021,0,0,0.012926911,-0.002592105,0.0,-0.188062989,-4e-05,0,0,0,0.0,-2.27e-05,0,0,0.0,-4e-05,0.0,0,0,-0.00012,0,-0.212319024,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.004626174,0.0,0,0,-4e-05,0,-4e-05,0.0,0,0.0,0.0,0,0,0.801129102,0.0,0,0,0.0,0,-4e-05,0,-0.001689487,0,0.012906911,0.012906911,0.012906911,0,0,-4e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
829,44,0,0,0,0,0.0,0,0,0,0,0,-5.88e-05,0,0,0.0,0.018998499,0.0,0,0,0,0.0,0,0,0,-0.004593809,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.144264362,0,0,-5.88e-05,0,0,0,0,0,0,0,-0.00174081,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.008750199,-5.33e-05,0,0.0,0,0,0,0,0,0,0,0,0,-5.88e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.015426483,0,0,0.019018499,-0.003815484,0.0,-0.276823408,-5.88e-05,0,0,0,0.0,-2.88e-05,0,0,0.0,-5.88e-05,0.0,0,0,-0.000176,0,-0.312476652,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.006809558,0.0,0,0,-5.88e-05,0,-5.88e-05,0.0,0,0.0,0.0,0,0,1.179133685,0.0,0,0,0.0,0,-5.88e-05,0,-0.002486863,0,0.018998499,0.018998499,0.018998499,0,0,-5.88e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
843,45,0,0,0,0,0.0,0,0,0,0,0,-7.67e-05,0,0,0.0,0.024775534,0.0,0,0,0,0.0,0,0,0,-0.005990687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.188131779,0,0,-7.67e-05,0,0,0,0,0,0,0,-0.002270153,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011410947,-9.31e-05,0,0.0,0,0,0,0,0,0,0,0,0,-7.67e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.020117345,0,0,0.024795534,-0.004975691,0.0,-0.360999183,-7.67e-05,0,0,0,0.0,-3.06e-05,0,0,0.0,-7.67e-05,0.0,0,0,-0.00023,0,-0.40744725,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.008880199,0.0,0,0,-7.67e-05,0,-7.67e-05,0.0,0,0.0,0.0,0,0,1.537581624,0.0,0,0,0.0,0,-7.67e-05,0,-0.003243065,0,0.024775534,0.024775534,0.024775534,0,0,-7.67e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
857,46,0,0,0,0,0.0,0,0,0,0,0,-9.22e-05,0,0,0.0,0.029772546,0.0,0,0,0,0.0,0,0,0,-0.007198957,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.226077584,0,0,-9.22e-05,0,0,0,0,0,0,0,-0.002728023,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.013712436,-0.000137,0,0.0,0,0,0,0,0,0,0,0,0,-9.22e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.02417484,0,0,0.029792546,-0.005979244,0.0,-0.433810851,-9.22e-05,0,0,0,0.0,-3.65e-05,0,0,0.0,-9.22e-05,0.0,0,0,-0.000277,0,-0.489574282,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.010671258,0.0,0,0,-9.22e-05,0,-9.22e-05,0.0,0,0.0,0.0,0,0,1.847598279,0.0,0,0,0.0,0,-9.22e-05,0,-0.003897163,0,0.029772546,0.029772546,0.029772546,0,0,-9.22e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
871,47,0,0,0,0,0.0,0,0,0,0,0,-9.11e-05,0,0,0.0,0.029411956,0.0,0,0,0,0.0,0,0,0,-0.007111767,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.223340214,0,0,-9.11e-05,0,0,0,0,0,0,0,-0.002694983,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.013546358,-0.000183,0,0.0,0,0,0,0,0,0,0,0,0,-9.11e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.023882048,0,0,0.029431956,-0.005906827,0.0,-0.428557528,-9.11e-05,0,0,0,0.0,-3.86e-05,0,0,0.0,-9.11e-05,0.0,0,0,-0.000273,0,-0.483548689,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.010542014,0.0,0,0,-9.11e-05,0,-9.11e-05,0.0,0,0.0,0.0,0,0,1.825033319,0.0,0,0,0.0,0,-9.11e-05,0,-0.003849963,0,0.029411956,0.029411956,0.029411956,0,0,-9.11e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
885,48,0,0,0,0,0.0,0,0,0,0,0,-9e-05,0,0,0.0,0.02905579,0.0,0,0,0,0.0,0,0,0,-0.007025647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.220635913,0,0,-9e-05,0,0,0,0,0,0,0,-0.002662348,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.013382318,-0.00023,0,0.0,0,0,0,0,0,0,0,0,0,-9e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.023592846,0,0,0.02907579,-0.005835298,0.0,-0.423368131,-9e-05,0,0,0,0.0,-3.91e-05,0,0,0.0,-9e-05,0.0,0,0,-0.00027,0,-0.477594265,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.010414354,0.0,0,0,-9e-05,0,-9e-05,0.0,0,0.0,0.0,0,0,1.802736874,0.0,0,0,0.0,0,-9e-05,0,-0.003803342,0,0.02905579,0.02905579,0.02905579,0,0,-9e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
899,49,0,0,0,0,0.0,0,0,0,0,0,-8.89e-05,0,0,0.0,0.028703989,0.0,0,0,0,0.0,0,0,0,-0.006940582,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.217964546,0,0,-8.89e-05,0,0,0,0,0,0,0,-0.002630113,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.013220287,-0.000277,0,0.0,0,0,0,0,0,0,0,0,0,-8.89e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.023307189,0,0,0.028723989,-0.005764645,0.0,-0.418242125,-8.89e-05,0,0,0,0.0,-3.9e-05,0,0,0.0,-8.89e-05,0.0,0,0,-0.000267,0,-0.471710421,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.010288259,0.0,0,0,-8.89e-05,0,-8.89e-05,0.0,0,0.0,0.0,0,0,1.780707746,0.0,0,0,0.0,0,-8.89e-05,0,-0.003757292,0,0.028703989,0.028703989,0.028703989,0,0,-8.89e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1063,50,0,0,0,0,0.0,0,0,0,0,0,-8.78e-05,0,0,0.0,0.028356863,0.0,0,0,0,0.0,0,0,0,-0.006856647,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.215328591,0,0,-8.78e-05,0,0,0,0,0,0,0,-0.002598306,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.01306041,-0.000341,0,0.0,0,0,0,0,0,0,0,0,0,-8.78e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.023025328,0,0,0.028376863,-0.005694932,0.0,-0.413184153,-8.78e-05,0,0,0,0.0,-3.87e-05,0,0,0.0,-8.78e-05,0.0,0,0,-0.000263,0,-0.465872407,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.01016384,0.0,0,0,-8.78e-05,0,-8.78e-05,0.0,0,0.0,0.0,0,0,1.758906159,0.0,0,0,0.0,0,-8.78e-05,0,-0.003711853,0,0.028356863,0.028356863,0.028356863,0,0,-8.78e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1078,51,0,0,0,0,0.0,0,0,0,0,0,-8.67e-05,0,0,0.0,0.028013446,0.0,0,0,0,0.0,0,0,0,-0.006773609,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.212719057,0,0,-8.67e-05,0,0,0,0,0,0,0,-0.002566839,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012902242,-0.000383,0,0.0,0,0,0,0,0,0,0,0,0,-8.67e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.022746479,0,0,0.028033446,-0.005625963,0.0,-0.40817848,-8.67e-05,0,0,0,0.0,-3.31e-05,0,0,0.0,-8.67e-05,0.0,0,0,-0.00026,0,-0.460139895,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.010040751,0.0,0,0,-8.67e-05,0,-8.67e-05,0.0,0,0.0,0.0,0,0,1.737414166,0.0,0,0,0.0,0,-8.67e-05,0,-0.003666901,0,0.028013446,0.028013446,0.028013446,0,0,-8.67e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1093,52,0,0,0,0,0.0,0,0,0,0,0,-8.57e-05,0,0,0.0,0.027673587,0.0,0,0,0,0.0,0,0,0,-0.006691432,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.210137984,0,0,-8.57e-05,0,0,0,0,0,0,0,-0.002535698,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012745712,-0.000399,0,0.0,0,0,0,0,0,0,0,0,0,-8.57e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.022470519,0,0,0.027693587,-0.005557709,0.0,-0.403226096,-8.57e-05,0,0,0,0.0,-3.18e-05,0,0,0.0,-8.57e-05,0.0,0,0,-0.000257,0,-0.454518045,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.009918936,0.0,0,0,-8.57e-05,0,-8.57e-05,0.0,0,0.0,0.0,0,0,1.71625522,0.0,0,0,0.0,0,-8.57e-05,0,-0.003622414,0,0.027673587,0.027673587,0.027673587,0,0,-8.57e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1108,53,0,0,0,0,0.0,0,0,0,0,0,-8.47e-05,0,0,0.0,0.02733814,0.0,0,0,0,0.0,0,0,0,-0.006610322,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.207590683,0,0,-8.47e-05,0,0,0,0,0,0,0,-0.002504962,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012591214,-0.000425,0,0.0,0,0,0,0,0,0,0,0,0,-8.47e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.022198141,0,0,0.02735814,-0.005490341,0.0,-0.398338268,-8.47e-05,0,0,0,0.0,-3.14e-05,0,0,0.0,-8.47e-05,0.0,0,0,-0.000254,0,-0.44894586,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.009798704,0.0,0,0,-8.47e-05,0,-8.47e-05,0.0,0,0.0,0.0,0,0,1.695325785,0.0,0,0,0.0,0,-8.47e-05,0,-0.003578505,0,0.02733814,0.02733814,0.02733814,0,0,-8.47e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1123,54,0,0,0,0,0.0,0,0,0,0,0,-8.36e-05,0,0,0.0,0.027006933,0.0,0,0,0,0.0,0,0,0,-0.006530236,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.205075657,0,0,-8.36e-05,0,0,0,0,0,0,0,-0.002474614,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012438669,-0.000458,0,0.0,0,0,0,0,0,0,0,0,0,-8.36e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.021929207,0,0,0.027026933,-0.005423824,0.0,-0.3935123,-8.36e-05,0,0,0,0.0,-3.12e-05,0,0,0.0,-8.36e-05,0.0,0,0,-0.000251,0,-0.443430795,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.00967999,0.0,0,0,-8.36e-05,0,-8.36e-05,0.0,0,0.0,0.0,0,0,1.674634686,0.0,0,0,0.0,0,-8.36e-05,0,-0.003535151,0,0.027006933,0.027006933,0.027006933,0,0,-8.36e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1138,55,0,0,0,0,0.0,0,0,0,0,0,-8.26e-05,0,0,0.0,0.026679913,0.0,0,0,0,0.0,0,0,0,-0.006451163,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.202595691,0,0,-8.26e-05,0,0,0,0,0,0,0,-0.002444649,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012288053,-0.000495,0,0.0,0,0,0,0,0,0,0,0,0,-8.26e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.021663671,0,0,0.026699913,-0.005358148,0.0,-0.388750601,-8.26e-05,0,0,0,0.0,-4.08e-05,0,0,0.0,-8.26e-05,0.0,0,0,-0.000248,0,-0.437972462,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.009562778,0.0,0,0,-8.26e-05,0,-8.26e-05,0.0,0,0.0,0.0,0,0,1.654197155,0.0,0,0,0.0,0,-8.26e-05,0,-0.003492344,0,0.026679913,0.026679913,0.026679913,0,0,-8.26e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1153,56,0,0,0,0,0.0,0,0,0,0,0,-8.16e-05,0,0,0.0,0.026357036,0.0,0,0,0,0.0,0,0,0,-0.006373092,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.200144945,0,0,-8.16e-05,0,0,0,0,0,0,0,-0.002415064,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.012139344,-0.000539,0,0.0,0,0,0,0,0,0,0,0,0,-8.16e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.0214015,0,0,0.026377036,-0.005293305,0.0,-0.384047027,-8.16e-05,0,0,0,0.0,-4.36e-05,0,0,0.0,-8.16e-05,0.0,0,0,-0.000245,0,-0.432569856,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.00944705,0.0,0,0,-8.16e-05,0,-8.16e-05,0.0,0,0.0,0.0,0,0,1.633979612,0.0,0,0,0.0,0,-8.16e-05,0,-0.00345008,0,0.026357036,0.026357036,0.026357036,0,0,-8.16e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1168,57,0,0,0,0,0.0,0,0,0,0,0,-8.06e-05,0,0,0.0,0.026039033,0.0,0,0,0,0.0,0,0,0,-0.006296199,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.197729557,0,0,-8.06e-05,0,0,0,0,0,0,0,-0.002385926,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011992881,-0.000623,0,0.0,0,0,0,0,0,0,0,0,0,-8.06e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.021143287,0,0,0.026059033,-0.00522944,0.0,-0.379412829,-8.06e-05,0,0,0,0.0,-4.15e-05,0,0,0.0,-8.06e-05,0.0,0,0,-0.000242,0,-0.4271709,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.00933307,0.0,0,0,-8.06e-05,0,-8.06e-05,0.0,0,0.0,0.0,0,0,1.613902431,0.0,0,0,0.0,0,-8.06e-05,0,-0.003408455,0,0.026039033,0.026039033,0.026039033,0,0,-8.06e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1183,58,0,0,0,0,0.0,0,0,0,0,0,-7.97e-05,0,0,0.0,0.025724913,0.0,0,0,0,0.0,0,0,0,-0.006220246,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.195344018,0,0,-7.97e-05,0,0,0,0,0,0,0,-0.002357144,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011848205,-0.000705,0,0.0,0,0,0,0,0,0,0,0,0,-7.97e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.020888226,0,0,0.025744913,-0.005166355,0.0,-0.374835562,-7.97e-05,0,0,0,0.0,-4.06e-05,0,0,0.0,-7.97e-05,0.0,0,0,-0.000239,0,-0.421837992,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.009220481,0.0,0,0,-7.97e-05,0,-7.97e-05,0.0,0,0.0,0.0,0,0,1.594072626,0.0,0,0,0.0,0,-7.97e-05,0,-0.003367337,0,0.025724913,0.025724913,0.025724913,0,0,-7.97e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1198,59,0,0,0,0,0.0,0,0,0,0,0,-7.87e-05,0,0,0.0,0.025414632,0.0,0,0,0,0.0,0,0,0,-0.00614522,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.192986778,0,0,-7.87e-05,0,0,0,0,0,0,0,-0.002328713,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011705298,-0.000788,0,0.0,0,0,0,0,0,0,0,0,0,-7.87e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.020636283,0,0,0.025434632,-0.005104041,0.0,-0.37031339,-7.87e-05,0,0,0,0.0,-3.7e-05,0,0,0.0,-7.87e-05,0.0,0,0,-0.000236,0,-0.416569902,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.009109268,0.0,0,0,-7.87e-05,0,-7.87e-05,0.0,0,0.0,0.0,0,0,1.574479729,0.0,0,0,0.0,0,-7.87e-05,0,-0.003326722,0,0.025414632,0.025414632,0.025414632,0,0,-7.87e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1228,60,0,0,0,0,0.0,0,0,0,0,0,-7.77e-05,0,0,0.0,0.02510795,0.0,0,0,0,0.0,0,0,0,-0.006071065,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.190658447,0,0,-7.77e-05,0,0,0,0,0,0,0,-0.002300612,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011564049,-0.00086,0,0.0,0,0,0,0,0,0,0,0,0,-7.77e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.020387262,0,0,0.02512795,-0.00504245,0.0,-0.365845233,-7.77e-05,0,0,0,0.0,-3.82e-05,0,0,0.0,-7.77e-05,0.0,0,0,-0.000233,0,-0.411378688,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.008999345,0.0,0,0,-7.77e-05,0,-7.77e-05,0.0,0,0.0,0.0,0,0,1.555154261,0.0,0,0,0.0,0,-7.77e-05,0,-0.003286578,0,0.02510795,0.02510795,0.02510795,0,0,-7.77e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1243,61,0,0,0,0,0.0,0,0,0,0,0,-7.68e-05,0,0,0.0,0.024804916,0.0,0,0,0,0.0,0,0,0,-0.005997792,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.188356692,0,0,-7.68e-05,0,0,0,0,0,0,0,-0.002272845,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011424479,-0.000929,0,0.0,0,0,0,0,0,0,0,0,0,-7.68e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.020141203,0,0,0.024824916,-0.004981591,0.0,-0.3614291,-7.68e-05,0,0,0,0.0,-3.61e-05,0,0,0.0,-7.68e-05,0.0,0,0,-0.00023,0,-0.406257112,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.00889073,0.0,0,0,-7.68e-05,0,-7.68e-05,0.0,0,0.0,0.0,0,0,1.536068298,0.0,0,0,0.0,0,-7.68e-05,0,-0.003246911,0,0.024804916,0.024804916,0.024804916,0,0,-7.68e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
1258,62,0,0,0,0,0.0,0,0,0,0,0,-7.59e-05,0,0,0.0,0.024505494,0.0,0,0,0,0.0,0,0,0,-0.005925392,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0.186081918,0,0,-7.59e-05,0,0,0,0,0,0,0,-0.00224541,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0,0,0,0,-0.011286573,-0.000993,0,0.0,0,0,0,0,0,0,0,0,0,-7.59e-05,0.0,0,0.0,0.0,0,0.0,0,0,-0.019898077,0,0,0.024525494,-0.004921458,0.0,-0.357065156,-7.59e-05,0,0,0,0.0,-3.25e-05,0,0,0.0,-7.59e-05,0.0,0,0,-0.000228,0,-0.401203576,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0,-0.008783409,0.0,0,0,-7.59e-05,0,-7.59e-05,0.0,0,0.0,0.0,0,0,1.517221311,0.0,0,0,0.0,0,-7.59e-05,0,-0.003207717,0,0.024505494,0.024505494,0.024505494,0,0,-7.59e-05,0.0,0,0,0.0,0,0.0,0,0,0,0,0,0.0,0,0,0.0,0,0,0
